#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf58.45.100
#tb 0: 1/24
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1080x1920
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  3110400, ce7e66248b0dd3bbac34fd0f48ac838f
0,          1,          1,        1,  3110400, 29eb81a40010a98c92cfd4aaf0c3091f
0,          2,          2,        1,  3110400, 096e32d985ab2b5c365021c27f21bfc6
0,          3,          3,        1,  3110400, 2b40b9a853b8d632f0ebeac9cdb320e3
0,          4,          4,        1,  3110400, 6b97fe000d79ab3d0bd4025cf7886294
0,          5,          5,        1,  3110400, d296c3c923b456697d2e56a2c54c9d86
0,          6,          6,        1,  3110400, e4a3f4dfcfe88de5a88ea97dc9ac463a
0,          7,          7,        1,  3110400, deb61d30b2ae83a80ae88b0f9c858208
0,          8,          8,        1,  3110400, 4387f4f51dbd25aeb541859769eff6da
0,          9,          9,        1,  3110400, 294f4288d11a873cd01b23f105968924
0,         10,         10,        1,  3110400, 3be2dffe43a1dac4d073420db80b3d87
0,         11,         11,        1,  3110400, dcb75e6e9baff941c70db317cb4aabc0
0,         12,         12,        1,  3110400, 3a63c7750d3f2c6696ff72115b9be077
0,         13,         13,        1,  3110400, c46f9481f7f56b4295e5c2a128087358
0,         14,         14,        1,  3110400, 55a2ef1ff11eb0e3444cbffd36aaff57
0,         15,         15,        1,  3110400, 8dfe5b7317d6225b90ab739e9c6fc417
0,         16,         16,        1,  3110400, 27e8b9cb70899eba8f44201608f4a6f2
0,         17,         17,        1,  3110400, 9b9f6364cb8820f1bb700c2ec4862a9a
0,         18,         18,        1,  3110400, ac89cb6d8a6fad7e6d21d4f99a4b44bc
0,         19,         19,        1,  3110400, 237a55ad7efb1ab2673b1fba3544ec3d
0,         20,         20,        1,  3110400, f9bce52503f10fca3395678283186fbe
0,         21,         21,        1,  3110400, 448bb7e38179625d063f738bcb3e88bb
0,         22,         22,        1,  3110400, 111c9d467022802f98e697464e9ca3c0
0,         23,         23,        1,  3110400, d23a91c04e458dd513b600605cfedce0
0,         24,         24,        1,  3110400, a946975fae228176bff9fcfcaf118426
0,         25,         25,        1,  3110400, 8fa0815757bb33711a8a3bd43cab11be
0,         26,         26,        1,  3110400, 0f4906ab5c3fbc2d1cf8f0b820c021fa
0,         27,         27,        1,  3110400, f2f13974e904fd888ad7a5be43b9a99a
0,         28,         28,        1,  3110400, 0e88f95e804e871fc7033edb33887a58
0,         29,         29,        1,  3110400, 99361c653a4c9f859dc48e58b4afb346
0,         30,         30,        1,  3110400, d43bd4a691fa25dae6f6b1fee5873682
0,         31,         31,        1,  3110400, d384b0bf60ad056db4d2da7820267ed7
0,         32,         32,        1,  3110400, 2b9913b3ddb4f0ac59bc035bf30b230a
0,         33,         33,        1,  3110400, ae5713aceaf3d486c089df626b1fef07
0,         34,         34,        1,  3110400, b9bca2698e9a1642c0df0ed9658a1a8a
0,         35,         35,        1,  3110400, b5363bfe3df60c7e791bad578b09921d
0,         36,         36,        1,  3110400, 334698375030d9dad6dee114131acdd7
0,         37,         37,        1,  3110400, 0ab45eb6c921be54f323c31882a5d43b
0,         38,         38,        1,  3110400, dd50fd16e04dd41a2d69e4ddb00d1857
0,         39,         39,        1,  3110400, 8c82f7b0b0eb0559be3e0f1e229fbc13
0,         40,         40,        1,  3110400, 82f5172a8d0fedb3b31789b40006f44c
0,         41,         41,        1,  3110400, 2e71eb35c4a079ebafec627db4c30a50
0,         42,         42,        1,  3110400, 55c72c4baa822c59d4e0145c342a4282
0,         43,         43,        1,  3110400, f5b003e75fcba56af27a99b8793e429e
0,         44,         44,        1,  3110400, 769898a3a98f9089305b8169312af374
0,         45,         45,        1,  3110400, 0a4951dbf90874b32662a7cb6647ef24
0,         46,         46,        1,  3110400, 91c6a7e06b2c057a4f8e4e5b158ecab9
0,         47,         47,        1,  3110400, 689c8a331c095d5bb92cb6c05565337f
0,         48,         48,        1,  3110400, 8266bfe05fa9ef90d4e3d2fe6f72efb2
0,         49,         49,        1,  3110400, a5aeb67b602104ec08a99111e5761003
0,         50,         50,        1,  3110400, 75e7efb581fcb8cf8112508400e230a1
0,         51,         51,        1,  3110400, 45ae9680c70e4981d6230786973a93e7
0,         52,         52,        1,  3110400, 14f92c4a915c97c9e5006ac3b8faf36b
0,         53,         53,        1,  3110400, a48ddf4db47d4390f484a1604bbc0952
0,         54,         54,        1,  3110400, 4c0f47585cc7f68068d7120ad64a70ae
0,         55,         55,        1,  3110400, 822c9096fc3278936ff81dda3a86915b
0,         56,         56,        1,  3110400, 4ba087bdddfa3ceb6983476489974096
0,         57,         57,        1,  3110400, 32a6a49c4d374c5b736d534907b55f7b
0,         58,         58,        1,  3110400, 6e6d69838c0250169d261787df431fce
0,         59,         59,        1,  3110400, e6c663abd945af2027756a65d5c15d10
0,         60,         60,        1,  3110400, 8e510b845866b2d82ec5650f08c1dcb5
0,         61,         61,        1,  3110400, 10ad31a6c9503cfe76307e3a85ab856d
0,         62,         62,        1,  3110400, 13b37b469cf200ede3c3ea9c4a6cffec
0,         63,         63,        1,  3110400, ab812696d015f86e7408adce94150cff
0,         64,         64,        1,  3110400, 407eb06f21651d5f545f927e10e7939f
0,         65,         65,        1,  3110400, 3350cd49918a0e641bc878c416861837
0,         66,         66,        1,  3110400, 28bada9d720d8e3e00e8c5c13b37b6fb
0,         67,         67,        1,  3110400, a25dffb70f7e92dc6783e1b056b37a2d
0,         68,         68,        1,  3110400, 13ceca0e04f07de6ff7abc880ad384dc
0,         69,         69,        1,  3110400, e9a287038a849346cd03b799605b4852
0,         70,         70,        1,  3110400, 797e85ea4edf873701b1b6f026ef082d
0,         71,         71,        1,  3110400, 1b8e6aaf9b9d78c2e403997bbe605ce1
0,         72,         72,        1,  3110400, 7b9b3f0b0ef5119430a16c536e9752a1
0,         73,         73,        1,  3110400, 2f705c3f8c1520c30cd2a4b3b61f421d
0,         74,         74,        1,  3110400, 07ee9ff3712ad1e8c7e32ceba2615e97
0,         75,         75,        1,  3110400, 77fa470e87a5f7f3e5d8c029c49d8c29
0,         76,         76,        1,  3110400, ab5d06b9cb534ab9d06abc869e8f5a00
0,         77,         77,        1,  3110400, 5b50fe817edd85aeeaa92af0d54a7921
0,         78,         78,        1,  3110400, 2cabe944f6c8783da3d0507c88da2a45
0,         79,         79,        1,  3110400, b91b17d745d7668fd92ae46f5e19fce7
0,         80,         80,        1,  3110400, af7df7752e1df599cb25c77d1ffbb680
0,         81,         81,        1,  3110400, f3caa9673116dc0ea98782f7c5e0dcd0
0,         82,         82,        1,  3110400, aa8ab9e6f306cd5838030008a3648818
0,         83,         83,        1,  3110400, 3b2506f688d45bc92968f1d3dae389c2
0,         84,         84,        1,  3110400, 5374183775a300c4d3b66dded667d175
0,         85,         85,        1,  3110400, ec3aa120851b0008b715bfa7f5b85bf3
0,         86,         86,        1,  3110400, 20938b3463cae4c8f8b0cfeec2715a85
0,         87,         87,        1,  3110400, 9700c995a26ab8aa045778f0a850cc3d
0,         88,         88,        1,  3110400, 9f4c76d2da9460a08ed5e6783724d279
0,         89,         89,        1,  3110400, 9911d57dd8396aec5941af73890ae38a
0,         90,         90,        1,  3110400, 77b05e9f110e707437a414c86bb83c0c
0,         91,         91,        1,  3110400, b02f6bf948594db1ab0d95c22f4764b0
0,         92,         92,        1,  3110400, 9022ee9e11340024bc89d43ec97ef5c3
0,         93,         93,        1,  3110400, 4b987c33792ec03150662aecd1e836cd
0,         94,         94,        1,  3110400, 9e9389cd0a45f86465a49e263f192319
0,         95,         95,        1,  3110400, 295925618e68c3bf49e773b875fdb16c
0,         96,         96,        1,  3110400, e7b1f0d42d82ed53c60cda1d8cb74bbb
0,         97,         97,        1,  3110400, c400dff8cbacc77edf3f2d2cd0c28581
0,         98,         98,        1,  3110400, 736f487ddd3f5f1f986932fa2accb237
0,         99,         99,        1,  3110400, 95e65a4ba211c3ffa17031eb58cf20ee
0,        100,        100,        1,  3110400, cef9a03602a38bfdd55cbeeaefbf40d0
0,        101,        101,        1,  3110400, 879608c681f2dd5d7ed286617f48c632
0,        102,        102,        1,  3110400, 402252e21034851f77f0338515afc819
0,        103,        103,        1,  3110400, db34589c8bc747485edaa5fb3bbee059
0,        104,        104,        1,  3110400, 0bcb77fe1fe042b09d478857bcbf4ca3
0,        105,        105,        1,  3110400, 8e9897e2ea5b4c7da53898b9542e5b06
0,        106,        106,        1,  3110400, 467ff8e2795121f839d7d7fda3a442dd
0,        107,        107,        1,  3110400, cca5b54c72e9d845f3b69bae731a7a4c
0,        108,        108,        1,  3110400, 09fdfd23d025a1152095244442f810eb
0,        109,        109,        1,  3110400, 355c820cf50ca291afa9ec61df55b5d3
0,        110,        110,        1,  3110400, 75489dc34f7f967e3df965f681c62fcf
0,        111,        111,        1,  3110400, 18c7fe8ae7b52906d0c6fedf1e59d8ff
0,        112,        112,        1,  3110400, f082570d53a8381651279595e0b743a4
0,        113,        113,        1,  3110400, 230f3988a921f177b955fe1a2ccb9b70
0,        114,        114,        1,  3110400, 78728069aab21fc4135b08d6dfd5cf60
0,        115,        115,        1,  3110400, c32d4eafdf39b776ca5c394d689f520f
0,        116,        116,        1,  3110400, 719e41d52337b268e9642f044242aa79
0,        117,        117,        1,  3110400, 7e67d9a0f15bf9a71f4313a9ea37771f
0,        118,        118,        1,  3110400, 3d01254f64beb91b3946166bd4c9658f
0,        119,        119,        1,  3110400, 76554b2376e7a33342795425361d3357
0,        120,        120,        1,  3110400, 2cbef43b789d8f93c83f5ec3caed3f45
0,        121,        121,        1,  3110400, 781f6456fcdd7b55979ebc1b07fe9108
0,        122,        122,        1,  3110400, 3ae921e9bea06d7a37bced24d5a4eb33
0,        123,        123,        1,  3110400, d4fa49664f82d769d15e7543f81748b0
0,        124,        124,        1,  3110400, 6ec79d9ee1ea2adb831513a18561b04b
0,        125,        125,        1,  3110400, d88c592330e2631079af6f175d23b2c0
0,        126,        126,        1,  3110400, 295979b0329b5aa67ae08809c934619e
0,        127,        127,        1,  3110400, d77b44163ffaf2290280a270fa31b455
0,        128,        128,        1,  3110400, 0c0c387e8593678e2d77629572c7e417
0,        129,        129,        1,  3110400, 655153e09d59cccdd9f553d98c756e96
0,        130,        130,        1,  3110400, fff0098b1e6942341ae3a9685a9052a7
0,        131,        131,        1,  3110400, 55cb376a3e60912acaa8b0299fdac088
0,        132,        132,        1,  3110400, 5c3983b81066d4c467ab8be7598e677b
0,        133,        133,        1,  3110400, 2e0176ec4860c3dbe29bfe64fc2486a0
0,        134,        134,        1,  3110400, 812466dc7e5b77aba5b5be7ced81dd32
0,        135,        135,        1,  3110400, 4597b2dabcf8b814dae19e522c688e2f
0,        136,        136,        1,  3110400, 9a6c612a9991ffaf82f333c5e9ebd230
0,        137,        137,        1,  3110400, cddef2c3b861b60910afa02079f1279e
0,        138,        138,        1,  3110400, 0a85fff930527ffd5113bb4630ea9549
0,        139,        139,        1,  3110400, 6964b2fa8f47b8405b15b1f3235ce6fb
0,        140,        140,        1,  3110400, 85a371e79999d43539f35699cbe06c9b
0,        141,        141,        1,  3110400, 6b0874e7b3ca308f60e287f95f4c15cf
0,        142,        142,        1,  3110400, d21e2ff498a56f581b2a2e4109ec7b70
0,        143,        143,        1,  3110400, 199362b66e68d98a960d2494d43fad71
0,        144,        144,        1,  3110400, 7076efc05b384931bb7ba375477d2ad7
0,        145,        145,        1,  3110400, b31cd631849682856a812e2ac5328ff5
0,        146,        146,        1,  3110400, 9d6bae0755c9bae6f6e12d55a809fef5
0,        147,        147,        1,  3110400, 69f6e315bfdaf64904086d3f3e2aebf0
0,        148,        148,        1,  3110400, 681e17c82733aa462dad78fe895cd0e5
0,        149,        149,        1,  3110400, 5e0ecdaaf4e86ed51f25aa5a12d2aa91
0,        150,        150,        1,  3110400, 78ae945aadf776972107e516daec26bd
0,        151,        151,        1,  3110400, 0e433433cecd7737e2d4ab53f332904e
0,        152,        152,        1,  3110400, 687e75e6407f8ef0d5571fe8ca64b7f8
0,        153,        153,        1,  3110400, 150aa3c996d6391ce952ae58edbd11b2
0,        154,        154,        1,  3110400, de4b9b507e2e6458efd8f06af773b367
0,        155,        155,        1,  3110400, 5a11a1ac4959e672f23d68ceb7237615
0,        156,        156,        1,  3110400, c48178d6f1ce7b5bd589e088be8de1ab
0,        157,        157,        1,  3110400, 48080c0d99dbe4fb68f7981bd786742d
0,        158,        158,        1,  3110400, 4af550bac5591dbdc8dfee8396b55e7c
0,        159,        159,        1,  3110400, f51d693c98c212e2c842ae5e93a3cddf
0,        160,        160,        1,  3110400, f7dcda05383807523c0a08733919cf44
0,        161,        161,        1,  3110400, 15dda355729e61ca89a93ba044f317b9
0,        162,        162,        1,  3110400, 057e1cf5d9a2fecd30cff3fd165a388f
0,        163,        163,        1,  3110400, 65bae815e1cbd93e1707ba3c92cbb19c
0,        164,        164,        1,  3110400, e05a7bc53b32d4a4cb10b4a602784d02
0,        165,        165,        1,  3110400, 96fc1d82b86afa9e8d10dcc5802b652a
0,        166,        166,        1,  3110400, 52956fb06f1a300f126643b6b09f7139
0,        167,        167,        1,  3110400, c454d8fb7785618247dc78177cd029f3
0,        168,        168,        1,  3110400, 93dfd09f36d0cc103c278d3500ed292c
0,        169,        169,        1,  3110400, c454d8fb7785618247dc78177cd029f3
0,        170,        170,        1,  3110400, e3247736cf2562f80a6ce07be152d7e3
0,        171,        171,        1,  3110400, 8d6a5340a088acdaa93591fdcedc6b19
0,        172,        172,        1,  3110400, f436eb1d8fd7d06f3103d928c943da54
0,        173,        173,        1,  3110400, 8d6a5340a088acdaa93591fdcedc6b19
0,        174,        174,        1,  3110400, 0c84b038ef2c6f0a012546bbe0c015f8
0,        175,        175,        1,  3110400, 7b2d6d05aa5bbf23bff6e9a8734c8f5c
0,        176,        176,        1,  3110400, 5a29b10ea0af5f4b0d8272cb373571a0
0,        177,        177,        1,  3110400, 23deddb094d7b3dbe575a94778e59277
0,        178,        178,        1,  3110400, 7cedcc17e54fc2f1f34d0e739785e49a
0,        179,        179,        1,  3110400, ab276b4e353e1c37591589bb22c3fb60
0,        180,        180,        1,  3110400, 78f67420940e3514b239381d5f56a539
0,        181,        181,        1,  3110400, 65eeef42de372cc04173b5d12f1370fb
0,        182,        182,        1,  3110400, d91bf996590336e46b6e1ab21b42f1dd
0,        183,        183,        1,  3110400, 85a34aac07919008ab086e172e66d8a0
0,        184,        184,        1,  3110400, d961ad5fe143262bd5b52b840669f5b3
0,        185,        185,        1,  3110400, ab61675d4b0554b9f9990bc46f6fb660
0,        186,        186,        1,  3110400, 81053a3459929af9bfc743567a5c9ec5
0,        187,        187,        1,  3110400, 34a19336c3802dbb2ce2e955d48adad5
0,        188,        188,        1,  3110400, 7c133a4f2ce55c08b14f9ba1f3043893
