#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf58.45.100
#tb 0: 1/24
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1344x768
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  1548288, 8bcdcd75c683f1291f50a5eea7e21b8e
0,          1,          1,        1,  1548288, 43dc5bd75be486b403041d199c62f20b
0,          2,          2,        1,  1548288, 3a00855d6d3e9603ff6f61b785d83f0b
0,          3,          3,        1,  1548288, ec46cd8e22b865d194dfeb87eec6cfe7
0,          4,          4,        1,  1548288, da9a4bc2d44888c58f65d178162f96e0
0,          5,          5,        1,  1548288, f957f180e98f8f0ea6bb92ef1b2762ad
0,          6,          6,        1,  1548288, d73c3a5d2459dad9a4882976f35a9564
0,          7,          7,        1,  1548288, df35e201ad44582bada7ede84053f9c7
0,          8,          8,        1,  1548288, 9e2afb0093b1275c3695308a13d73261
0,          9,          9,        1,  1548288, 632e392f8b08402202b3a5ed23ae2276
0,         10,         10,        1,  1548288, 81143c268f188a85916a6e619eb81cec
0,         11,         11,        1,  1548288, d14ca00303236b8de245e3c7f63848e7
0,         12,         12,        1,  1548288, 921ad0e46f3f18f2225ac135cc936e22
0,         13,         13,        1,  1548288, 948b2f19b0088bc4be1854866da05d5c
0,         14,         14,        1,  1548288, 4979e3fe4546b788865acaaa458ce8fb
0,         15,         15,        1,  1548288, 1016e2f2ee65e61f2b5be5038049a685
0,         16,         16,        1,  1548288, fed725c62c50a2ca90c49bf7f92cb856
0,         17,         17,        1,  1548288, b8903c330aa5d4c36b5d5c98e6387786
0,         18,         18,        1,  1548288, 2be0c0a73a92118fa573b4052b7528cf
0,         19,         19,        1,  1548288, 27ae4257be755c1962faaccbc4823bbb
0,         20,         20,        1,  1548288, 85037e0d7a378aca23d311dae8eb76a4
0,         21,         21,        1,  1548288, 4030c7735aa906643d040d9a79dc15c0
0,         22,         22,        1,  1548288, 011074a64ea1ccd6ec9bdecfb43aafb4
0,         23,         23,        1,  1548288, 3a2174d44c55ce20d27253f55d6b08a1
0,         24,         24,        1,  1548288, d226c252b3d8936c7c9f096826937e56
0,         25,         25,        1,  1548288, 8dbbb13358e5abddf5126f02fb9604e5
0,         26,         26,        1,  1548288, 46ad3c7e012521c2686c35e5ee7b0832
0,         27,         27,        1,  1548288, 3c15a603eb12dda14b6ac02393e9b8b4
0,         28,         28,        1,  1548288, c34dc5d9f572e7f8463c6e7e58ddafc7
0,         29,         29,        1,  1548288, 65ca78737f459183b045af1a9e92a077
0,         30,         30,        1,  1548288, 80cf3dc52d7d294f03f1fabb1296841d
0,         31,         31,        1,  1548288, 706557118aab41c837df5c1fc3dd6d6e
0,         32,         32,        1,  1548288, 1f21cd1cccf592cd8b9ff123fb16a15f
0,         33,         33,        1,  1548288, cf98e8cc49e6e8966f49b3f499403c79
