#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf58.45.100
#tb 0: 1/24
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1344x768
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  1548288, 0e8846f6f7b9b15f64783c2487f3bd3c
0,          1,          1,        1,  1548288, 04e2b8ecf55a8a8abfaa652da172810e
0,          2,          2,        1,  1548288, b588532898240462d3f60d44d9c15e73
0,          3,          3,        1,  1548288, 1c238842d4d6e7d80bdbd4b5633fc721
0,          4,          4,        1,  1548288, d80c1c0d5f7bfce57b41952da6733096
0,          5,          5,        1,  1548288, 1eda9629307408d3417acd07d8eb906d
0,          6,          6,        1,  1548288, 4aba07b06ada878dd5b47f55001bbd8d
0,          7,          7,        1,  1548288, 8a538d633ad64b27ed564c810ba8a89a
0,          8,          8,        1,  1548288, 0556900b5419e660c04132a0e8c05880
0,          9,          9,        1,  1548288, cba193730cea7b7e3406c98cc63f7040
0,         10,         10,        1,  1548288, 9eff220154070ef5cc5ef0c13c822e26
0,         11,         11,        1,  1548288, 5bec7bb1713bc72bf26f10041bf3c999
0,         12,         12,        1,  1548288, 960c0ec09e27e3732e092c7ecb521456
0,         13,         13,        1,  1548288, 0a5e6a47ac8e787e211b35764699a278
0,         14,         14,        1,  1548288, ad304cde04c891ab7387dd11a71306b4
0,         15,         15,        1,  1548288, 05b9b16648975477837bdcb2db3b0d43
0,         16,         16,        1,  1548288, c64d9a9494192c9c63a5aac8a88aa25e
0,         17,         17,        1,  1548288, b29ddfe60dc08cd8e87cce0501db6b81
0,         18,         18,        1,  1548288, 99416949eac5edacf904f44727e4bde0
0,         19,         19,        1,  1548288, ca6b80e65fc5b5dcffc4f3736c5c718a
0,         20,         20,        1,  1548288, 04238080f3d6a154078c83eb77540369
0,         21,         21,        1,  1548288, 8bdd4d60cab1b1adbc0bae4347fcab34
0,         22,         22,        1,  1548288, 968ed838e573651a5e2c208fcdef8332
0,         23,         23,        1,  1548288, 202bc0e333fa3eef34c0f2233f7cdc64
0,         24,         24,        1,  1548288, e75b5d5a700899d479cebe7e69ea6a40
0,         25,         25,        1,  1548288, a8bfe96a70e3e20926a89e741abf79f0
0,         26,         26,        1,  1548288, 22d1a6d5cef091b7533634c67fecabaa
0,         27,         27,        1,  1548288, 93ea16954ba8a9cf16ac5fee04bfbcd2
0,         28,         28,        1,  1548288, 4ad52ff4e939b16f03ccb81b99f1524b
0,         29,         29,        1,  1548288, 95cf048c9d58fd609248bf16871264b5
0,         30,         30,        1,  1548288, 743e9cc5963debf3e87f5dcf521d1877
0,         31,         31,        1,  1548288, 9de0e58b5e1562c50696968b0b953207
0,         32,         32,        1,  1548288, 6995ca194a913923ef26e3db3811f04c
0,         33,         33,        1,  1548288, da7e9558b4ee02fa865dc7102aab51b6
0,         34,         34,        1,  1548288, 80e8ad09168ea93d1aa8067efa08e486
0,         35,         35,        1,  1548288, 76ead06f0c8b8bf6e1744cc3a04da8a3
