Input #0, mov,mp4,m4a,3gp,3g2,mj2, from 'artifacts/qingyan-miao-ad-20260826-v8/final/青颜_苗家双人腋下止汗对话广告_30s_9x16_v8.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.45.100
  Duration: 00:00:30.02, start: 0.000000, bitrate: 8167 kb/s
    Stream #0:0(und): Video: h264 (High) (avc1 / 0x31637661), yuv420p, 1080x1920, 7976 kb/s, 24 fps, 24 tbr, 12288 tbn, 48 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 48000 Hz, stereo, fltp, 191 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
[Parsed_ebur128_0 @ 0x5727fe4d0140] Summary:

  Integrated loudness:
    I:         -70.0 LUFS
    Threshold:   0.0 LUFS

  Loudness range:
    LRA:         0.0 LU
    Threshold:   0.0 LUFS
    LRA low:     0.0 LUFS
    LRA high:    0.0 LUFS

  True peak:
    Peak:       -inf dBFS
Stream mapping:
  Stream #0:1 (aac) -> ebur128 (graph 0)
  ebur128 (graph 0) -> Stream #0:0 (pcm_s16le)
  Stream #0:0 -> #0:1 (h264 (native) -> wrapped_avframe (native))
Press [q] to stop, [?] for help
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.0999792  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -55.9 -56.4 dBFS  TPK: -55.9 -56.4 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.199979   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -37.2 -36.6 dBFS  TPK: -37.2 -36.6 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.299979   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -36.2 -34.9 dBFS  TPK: -36.2 -34.9 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.399979   TARGET:-23 LUFS    M: -42.4 S:-120.7     I: -42.4 LUFS       LRA:   0.0 LU  FTPK: -35.2 -34.8 dBFS  TPK: -35.2 -34.8 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.499979   TARGET:-23 LUFS    M: -39.9 S:-120.7     I: -41.0 LUFS       LRA:   0.0 LU  FTPK: -28.2 -28.1 dBFS  TPK: -28.2 -28.1 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.599979   TARGET:-23 LUFS    M: -36.4 S:-120.7     I: -38.9 LUFS       LRA:   0.0 LU  FTPK: -25.9 -26.2 dBFS  TPK: -25.9 -26.2 dBFS
Output #0, null, to 'pipe:':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.45.100
    Stream #0:0: Audio: pcm_s16le, 48000 Hz, stereo, s16, 1536 kb/s (default)
    Metadata:
      encoder         : Lavc58.91.100 pcm_s16le
    Stream #0:1(und): Video: wrapped_avframe, yuv420p, 1080x1920, q=2-31, 200 kb/s, 24 fps, 24 tbn, 24 tbc (default)
    Metadata:
      handler_name    : VideoHandler
      encoder         : Lavc58.91.100 wrapped_avframe
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.699979   TARGET:-23 LUFS    M: -34.3 S:-120.7     I: -37.2 LUFS       LRA:   0.0 LU  FTPK: -27.4 -27.1 dBFS  TPK: -25.9 -26.2 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.799979   TARGET:-23 LUFS    M: -33.1 S:-120.7     I: -36.0 LUFS       LRA:   0.0 LU  FTPK: -27.0 -26.5 dBFS  TPK: -25.9 -26.2 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.899979   TARGET:-23 LUFS    M: -32.4 S:-120.7     I: -35.2 LUFS       LRA:   0.0 LU  FTPK: -27.3 -27.0 dBFS  TPK: -25.9 -26.2 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 0.999979   TARGET:-23 LUFS    M: -32.3 S:-120.7     I: -34.6 LUFS       LRA:   0.0 LU  FTPK: -27.4 -27.3 dBFS  TPK: -25.9 -26.2 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.09998    TARGET:-23 LUFS    M: -32.5 S:-120.7     I: -34.3 LUFS       LRA:   0.0 LU  FTPK: -27.3 -26.8 dBFS  TPK: -25.9 -26.2 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.19998    TARGET:-23 LUFS    M: -32.8 S:-120.7     I: -34.1 LUFS       LRA:   0.0 LU  FTPK: -28.1 -28.2 dBFS  TPK: -25.9 -26.2 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.29998    TARGET:-23 LUFS    M: -31.2 S:-120.7     I: -33.7 LUFS       LRA:   0.0 LU  FTPK: -21.6 -21.4 dBFS  TPK: -21.6 -21.4 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.39998    TARGET:-23 LUFS    M: -30.1 S:-120.7     I: -33.2 LUFS       LRA:   0.0 LU  FTPK: -23.4 -22.6 dBFS  TPK: -21.6 -21.4 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.49998    TARGET:-23 LUFS    M: -30.1 S:-120.7     I: -32.9 LUFS       LRA:   0.0 LU  FTPK: -26.9 -26.2 dBFS  TPK: -21.6 -21.4 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.59998    TARGET:-23 LUFS    M: -30.0 S:-120.7     I: -32.6 LUFS       LRA:   0.0 LU  FTPK: -25.8 -25.9 dBFS  TPK: -21.6 -21.4 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.69998    TARGET:-23 LUFS    M: -29.4 S:-120.7     I: -32.0 LUFS       LRA:   0.0 LU  FTPK: -20.9 -21.0 dBFS  TPK: -20.9 -21.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.79998    TARGET:-23 LUFS    M: -29.6 S:-120.7     I: -31.7 LUFS       LRA:   0.0 LU  FTPK: -23.5 -23.2 dBFS  TPK: -20.9 -21.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.89998    TARGET:-23 LUFS    M: -29.5 S:-120.7     I: -31.6 LUFS       LRA:   0.0 LU  FTPK: -26.5 -25.5 dBFS  TPK: -20.9 -21.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 1.99998    TARGET:-23 LUFS    M: -29.6 S:-120.7     I: -31.4 LUFS       LRA:   0.0 LU  FTPK: -28.5 -28.0 dBFS  TPK: -20.9 -21.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.09998    TARGET:-23 LUFS    M: -30.9 S:-120.7     I: -31.4 LUFS       LRA:   0.0 LU  FTPK: -24.2 -24.2 dBFS  TPK: -20.9 -21.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.19998    TARGET:-23 LUFS    M: -31.3 S:-120.7     I: -31.4 LUFS       LRA:   0.0 LU  FTPK: -23.1 -22.9 dBFS  TPK: -20.9 -21.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.29998    TARGET:-23 LUFS    M: -31.5 S:-120.7     I: -31.4 LUFS       LRA:   0.0 LU  FTPK: -25.8 -26.1 dBFS  TPK: -20.9 -21.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.39998    TARGET:-23 LUFS    M: -31.4 S:-120.7     I: -31.4 LUFS       LRA:   0.0 LU  FTPK: -26.1 -25.7 dBFS  TPK: -20.9 -21.0 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.49998    TARGET:-23 LUFS    M: -29.5 S:-120.7     I: -31.3 LUFS       LRA:   0.0 LU  FTPK: -19.0 -18.5 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.59998    TARGET:-23 LUFS    M: -28.3 S:-120.7     I: -31.1 LUFS       LRA:   0.0 LU  FTPK: -19.9 -19.4 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.69998    TARGET:-23 LUFS    M: -27.6 S:-120.7     I: -30.9 LUFS       LRA:   0.0 LU  FTPK: -23.1 -22.5 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.79998    TARGET:-23 LUFS    M: -27.2 S:-120.7     I: -30.6 LUFS       LRA:   0.0 LU  FTPK: -23.8 -23.0 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.89998    TARGET:-23 LUFS    M: -28.1 S:-120.7     I: -30.5 LUFS       LRA:   0.0 LU  FTPK: -24.8 -24.2 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 2.99998    TARGET:-23 LUFS    M: -29.1 S: -30.7     I: -30.4 LUFS       LRA:  20.0 LU  FTPK: -23.9 -24.0 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.09998    TARGET:-23 LUFS    M: -29.6 S: -30.6     I: -30.4 LUFS       LRA:  20.1 LU  FTPK: -22.5 -22.3 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.19998    TARGET:-23 LUFS    M: -29.9 S: -30.4     I: -30.4 LUFS       LRA:  20.1 LU  FTPK: -23.3 -23.3 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.29998    TARGET:-23 LUFS    M: -30.2 S: -30.3     I: -30.4 LUFS       LRA:  20.2 LU  FTPK: -24.2 -23.9 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.39998    TARGET:-23 LUFS    M: -30.4 S: -30.2     I: -30.4 LUFS       LRA:   0.5 LU  FTPK: -24.1 -24.0 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.49998    TARGET:-23 LUFS    M: -30.6 S: -30.1     I: -30.4 LUFS       LRA:   0.6 LU  FTPK: -24.2 -24.3 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.59998    TARGET:-23 LUFS    M: -30.8 S: -30.0     I: -30.4 LUFS       LRA:   0.7 LU  FTPK: -24.1 -24.3 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.69998    TARGET:-23 LUFS    M: -30.4 S: -30.0     I: -30.4 LUFS       LRA:   0.7 LU  FTPK: -21.4 -21.9 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.79998    TARGET:-23 LUFS    M: -30.0 S: -29.9     I: -30.4 LUFS       LRA:   0.8 LU  FTPK: -21.8 -21.6 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.89998    TARGET:-23 LUFS    M: -30.0 S: -29.8     I: -30.4 LUFS       LRA:   0.9 LU  FTPK: -24.1 -24.1 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 3.99998    TARGET:-23 LUFS    M: -29.8 S: -29.8     I: -30.4 LUFS       LRA:   0.9 LU  FTPK: -25.1 -25.1 dBFS  TPK: -19.0 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.09998    TARGET:-23 LUFS    M: -28.2 S: -29.5     I: -30.3 LUFS       LRA:   0.9 LU  FTPK: -18.5 -18.9 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.19998    TARGET:-23 LUFS    M: -27.5 S: -29.2     I: -30.2 LUFS       LRA:   1.3 LU  FTPK: -20.6 -20.6 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.29998    TARGET:-23 LUFS    M: -27.3 S: -29.3     I: -30.1 LUFS       LRA:   1.5 LU  FTPK: -23.9 -22.8 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.39998    TARGET:-23 LUFS    M: -26.4 S: -29.1     I: -29.9 LUFS       LRA:   1.3 LU  FTPK: -19.3 -19.1 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.49998    TARGET:-23 LUFS    M: -27.4 S: -29.1     I: -29.8 LUFS       LRA:   1.5 LU  FTPK: -22.9 -22.7 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.59998    TARGET:-23 LUFS    M: -28.6 S: -29.0     I: -29.7 LUFS       LRA:   1.5 LU  FTPK: -24.6 -24.3 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.69998    TARGET:-23 LUFS    M: -29.1 S: -29.2     I: -29.7 LUFS       LRA:   1.5 LU  FTPK: -26.1 -26.0 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.79998    TARGET:-23 LUFS    M: -30.7 S: -29.2     I: -29.7 LUFS       LRA:   1.5 LU  FTPK: -21.6 -21.3 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.89998    TARGET:-23 LUFS    M: -30.7 S: -29.2     I: -29.7 LUFS       LRA:   1.5 LU  FTPK: -24.1 -24.0 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 4.99998    TARGET:-23 LUFS    M: -30.8 S: -29.2     I: -29.8 LUFS       LRA:   1.5 LU  FTPK: -26.5 -26.3 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.09998    TARGET:-23 LUFS    M: -31.0 S: -29.2     I: -29.9 LUFS       LRA:   1.5 LU  FTPK: -27.5 -27.1 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.19998    TARGET:-23 LUFS    M: -32.3 S: -29.3     I: -29.9 LUFS       LRA:   1.5 LU  FTPK: -28.7 -28.1 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.29998    TARGET:-23 LUFS    M: -33.8 S: -29.3     I: -30.0 LUFS       LRA:   1.5 LU  FTPK: -28.9 -28.5 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.39998    TARGET:-23 LUFS    M: -34.7 S: -29.3     I: -30.0 LUFS       LRA:   1.4 LU  FTPK: -28.9 -28.7 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.49998    TARGET:-23 LUFS    M: -30.6 S: -29.3     I: -30.0 LUFS       LRA:   1.4 LU  FTPK: -21.3 -21.1 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.59998    TARGET:-23 LUFS    M: -29.4 S: -29.5     I: -30.0 LUFS       LRA:   1.4 LU  FTPK: -23.8 -23.7 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.69998    TARGET:-23 LUFS    M: -28.9 S: -29.6     I: -30.0 LUFS       LRA:   1.4 LU  FTPK: -26.0 -25.4 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.79998    TARGET:-23 LUFS    M: -28.9 S: -29.7     I: -30.0 LUFS       LRA:   1.4 LU  FTPK: -28.3 -27.9 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.89998    TARGET:-23 LUFS    M: -31.1 S: -29.8     I: -30.0 LUFS       LRA:   1.4 LU  FTPK: -27.4 -26.7 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 5.99998    TARGET:-23 LUFS    M: -32.6 S: -29.8     I: -30.0 LUFS       LRA:   1.3 LU  FTPK: -27.8 -27.0 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.09998    TARGET:-23 LUFS    M: -33.2 S: -29.9     I: -30.1 LUFS       LRA:   1.3 LU  FTPK: -27.5 -27.0 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.19998    TARGET:-23 LUFS    M: -33.0 S: -30.0     I: -30.1 LUFS       LRA:   1.3 LU  FTPK: -28.3 -27.9 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.29998    TARGET:-23 LUFS    M: -30.9 S: -29.8     I: -30.1 LUFS       LRA:   1.3 LU  FTPK: -23.0 -21.5 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.39998    TARGET:-23 LUFS    M: -30.2 S: -29.8     I: -30.1 LUFS       LRA:   1.2 LU  FTPK: -24.3 -23.7 dBFS  TPK: -18.5 -18.5 dBFS
[Parsed_ebur128_0 @ 0x5727fe4d0140] t: 6.49998    TARGET:-23 LUFS    M: -30.3 S: -29.9     I: -30.1 LUFS       LRA:   1.2 LU  FTPK: -27.4 -27.2 dBFS  TPK: -18.5 -18.5 dBFS
