Input #0, mov,mp4,m4a,3gp,3g2,mj2, from 'artifacts/qingyan-miao-ad-20260826-v9/final/青颜_苗家腋下使用前后对比广告_30s_9x16_v9.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.45.100
  Duration: 00:00:30.02, start: 0.000000, bitrate: 6794 kb/s
    Stream #0:0(und): Video: h264 (High) (avc1 / 0x31637661), yuv420p, 1080x1920, 6600 kb/s, 24 fps, 24 tbr, 12288 tbn, 48 tbc (default)
    Metadata:
      handler_name    : VideoHandler
    Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 48000 Hz, stereo, fltp, 193 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
Stream mapping:
  Stream #0:0 -> #0:0 (h264 (native) -> wrapped_avframe (native))
  Stream #0:1 -> #0:1 (aac (native) -> pcm_s16le (native))
Press [q] to stop, [?] for help
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.0999792  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -30.2 -30.0 dBFS  TPK: -30.2 -30.0 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.199979   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -30.9 -30.9 dBFS  TPK: -30.2 -30.0 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.299979   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK: -23.8 -23.5 dBFS  TPK: -23.8 -23.5 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.399979   TARGET:-23 LUFS    M: -32.3 S:-120.7     I: -32.3 LUFS       LRA:   0.0 LU  FTPK: -26.1 -25.6 dBFS  TPK: -23.8 -23.5 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.499979   TARGET:-23 LUFS    M: -32.2 S:-120.7     I: -32.3 LUFS       LRA:   0.0 LU  FTPK: -28.9 -28.2 dBFS  TPK: -23.8 -23.5 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.599979   TARGET:-23 LUFS    M: -31.6 S:-120.7     I: -32.0 LUFS       LRA:   0.0 LU  FTPK: -23.3 -23.3 dBFS  TPK: -23.3 -23.3 dBFS
Output #0, null, to 'pipe:':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf58.45.100
    Stream #0:0(und): Video: wrapped_avframe, yuv420p, 1080x1920, q=2-31, 200 kb/s, 24 fps, 24 tbn, 24 tbc (default)
    Metadata:
      handler_name    : VideoHandler
      encoder         : Lavc58.91.100 wrapped_avframe
    Stream #0:1(und): Audio: pcm_s16le, 48000 Hz, stereo, s16, 1536 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      encoder         : Lavc58.91.100 pcm_s16le
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.699979   TARGET:-23 LUFS    M: -31.8 S:-120.7     I: -32.0 LUFS       LRA:   0.0 LU  FTPK: -24.3 -23.7 dBFS  TPK: -23.3 -23.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.799979   TARGET:-23 LUFS    M: -31.8 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -27.1 -26.0 dBFS  TPK: -23.3 -23.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.899979   TARGET:-23 LUFS    M: -31.8 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -29.0 -28.3 dBFS  TPK: -23.3 -23.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 0.999979   TARGET:-23 LUFS    M: -32.3 S:-120.7     I: -32.0 LUFS       LRA:   0.0 LU  FTPK: -26.6 -27.0 dBFS  TPK: -23.3 -23.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.09998    TARGET:-23 LUFS    M: -33.2 S:-120.7     I: -32.1 LUFS       LRA:   0.0 LU  FTPK: -25.4 -25.7 dBFS  TPK: -23.3 -23.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.19998    TARGET:-23 LUFS    M: -33.7 S:-120.7     I: -32.2 LUFS       LRA:   0.0 LU  FTPK: -27.5 -27.3 dBFS  TPK: -23.3 -23.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.29998    TARGET:-23 LUFS    M: -33.7 S:-120.7     I: -32.4 LUFS       LRA:   0.0 LU  FTPK: -27.8 -28.2 dBFS  TPK: -23.3 -23.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.39998    TARGET:-23 LUFS    M: -33.3 S:-120.7     I: -32.4 LUFS       LRA:   0.0 LU  FTPK: -25.3 -25.7 dBFS  TPK: -23.3 -23.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.49998    TARGET:-23 LUFS    M: -31.2 S:-120.7     I: -32.3 LUFS       LRA:   0.0 LU  FTPK: -21.3 -20.7 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.59998    TARGET:-23 LUFS    M: -30.2 S:-120.7     I: -32.1 LUFS       LRA:   0.0 LU  FTPK: -24.3 -23.3 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.69998    TARGET:-23 LUFS    M: -29.6 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -26.4 -25.4 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.79998    TARGET:-23 LUFS    M: -29.4 S:-120.7     I: -31.7 LUFS       LRA:   0.0 LU  FTPK: -27.1 -26.4 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.89998    TARGET:-23 LUFS    M: -30.9 S:-120.7     I: -31.6 LUFS       LRA:   0.0 LU  FTPK: -27.2 -26.6 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 1.99998    TARGET:-23 LUFS    M: -31.6 S:-120.7     I: -31.6 LUFS       LRA:   0.0 LU  FTPK: -24.6 -25.2 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.09998    TARGET:-23 LUFS    M: -32.0 S:-120.7     I: -31.6 LUFS       LRA:   0.0 LU  FTPK: -24.9 -24.6 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.19998    TARGET:-23 LUFS    M: -32.3 S:-120.7     I: -31.7 LUFS       LRA:   0.0 LU  FTPK: -25.5 -25.4 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.29998    TARGET:-23 LUFS    M: -32.5 S:-120.7     I: -31.7 LUFS       LRA:   0.0 LU  FTPK: -26.7 -26.7 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.39998    TARGET:-23 LUFS    M: -32.7 S:-120.7     I: -31.8 LUFS       LRA:   0.0 LU  FTPK: -26.9 -26.3 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.49998    TARGET:-23 LUFS    M: -33.0 S:-120.7     I: -31.8 LUFS       LRA:   0.0 LU  FTPK: -26.3 -26.3 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.59998    TARGET:-23 LUFS    M: -33.2 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -26.8 -27.1 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.69998    TARGET:-23 LUFS    M: -32.5 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -23.7 -23.8 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.79998    TARGET:-23 LUFS    M: -32.4 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -26.7 -26.7 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.89998    TARGET:-23 LUFS    M: -32.3 S:-120.7     I: -31.9 LUFS       LRA:   0.0 LU  FTPK: -27.5 -27.5 dBFS  TPK: -21.3 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 2.99998    TARGET:-23 LUFS    M: -31.4 S: -31.9     I: -31.9 LUFS       LRA:  20.0 LU  FTPK: -20.8 -21.2 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.09998    TARGET:-23 LUFS    M: -30.0 S: -31.6     I: -31.8 LUFS       LRA:  20.2 LU  FTPK: -22.0 -21.6 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.19998    TARGET:-23 LUFS    M: -29.6 S: -31.4     I: -31.7 LUFS       LRA:  20.2 LU  FTPK: -24.7 -24.3 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.29998    TARGET:-23 LUFS    M: -29.2 S: -31.5     I: -31.6 LUFS       LRA:  20.2 LU  FTPK: -21.7 -21.5 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.39998    TARGET:-23 LUFS    M: -28.9 S: -31.3     I: -31.5 LUFS       LRA:   0.6 LU  FTPK: -22.5 -22.2 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.49998    TARGET:-23 LUFS    M: -30.4 S: -31.3     I: -31.4 LUFS       LRA:   0.6 LU  FTPK: -28.2 -27.8 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.59998    TARGET:-23 LUFS    M: -31.1 S: -31.3     I: -31.4 LUFS       LRA:   0.6 LU  FTPK: -27.1 -26.6 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.69998    TARGET:-23 LUFS    M: -32.2 S: -31.5     I: -31.4 LUFS       LRA:   0.6 LU  FTPK: -30.0 -29.6 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.79998    TARGET:-23 LUFS    M: -33.0 S: -31.5     I: -31.5 LUFS       LRA:   0.6 LU  FTPK: -23.9 -23.4 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.89998    TARGET:-23 LUFS    M: -32.9 S: -31.4     I: -31.5 LUFS       LRA:   0.6 LU  FTPK: -27.7 -27.6 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 3.99998    TARGET:-23 LUFS    M: -33.2 S: -31.4     I: -31.6 LUFS       LRA:   0.6 LU  FTPK: -29.9 -29.4 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.09998    TARGET:-23 LUFS    M: -33.3 S: -31.5     I: -31.6 LUFS       LRA:   0.6 LU  FTPK: -30.5 -30.1 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.19998    TARGET:-23 LUFS    M: -35.3 S: -31.6     I: -31.7 LUFS       LRA:   0.6 LU  FTPK: -30.2 -29.9 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.29998    TARGET:-23 LUFS    M: -36.5 S: -31.6     I: -31.7 LUFS       LRA:   0.6 LU  FTPK: -31.9 -31.4 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.39998    TARGET:-23 LUFS    M: -34.8 S: -31.5     I: -31.8 LUFS       LRA:   0.3 LU  FTPK: -23.5 -23.2 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.49998    TARGET:-23 LUFS    M: -32.2 S: -31.7     I: -31.8 LUFS       LRA:   0.3 LU  FTPK: -23.5 -23.5 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.59998    TARGET:-23 LUFS    M: -31.3 S: -31.8     I: -31.8 LUFS       LRA:   0.4 LU  FTPK: -26.8 -26.4 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.69998    TARGET:-23 LUFS    M: -31.1 S: -31.9     I: -31.8 LUFS       LRA:   0.5 LU  FTPK: -29.3 -28.3 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.79998    TARGET:-23 LUFS    M: -31.9 S: -32.0     I: -31.8 LUFS       LRA:   0.6 LU  FTPK: -31.0 -30.0 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.89998    TARGET:-23 LUFS    M: -33.9 S: -32.0     I: -31.8 LUFS       LRA:   0.6 LU  FTPK: -29.9 -29.2 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 4.99998    TARGET:-23 LUFS    M: -35.2 S: -32.1     I: -31.9 LUFS       LRA:   0.7 LU  FTPK: -30.2 -29.8 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.09998    TARGET:-23 LUFS    M: -35.5 S: -32.2     I: -31.9 LUFS       LRA:   0.8 LU  FTPK: -30.1 -29.8 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.19998    TARGET:-23 LUFS    M: -34.6 S: -32.2     I: -32.0 LUFS       LRA:   0.9 LU  FTPK: -27.4 -26.5 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.29998    TARGET:-23 LUFS    M: -32.6 S: -32.1     I: -32.0 LUFS       LRA:   0.9 LU  FTPK: -25.2 -23.7 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.39998    TARGET:-23 LUFS    M: -32.4 S: -32.1     I: -32.0 LUFS       LRA:   0.8 LU  FTPK: -28.8 -28.9 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.49998    TARGET:-23 LUFS    M: -32.6 S: -32.1     I: -32.0 LUFS       LRA:   0.8 LU  FTPK: -29.3 -29.1 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.59998    TARGET:-23 LUFS    M: -32.6 S: -32.1     I: -32.0 LUFS       LRA:   0.8 LU  FTPK: -26.4 -26.1 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.69998    TARGET:-23 LUFS    M: -34.7 S: -32.3     I: -32.0 LUFS       LRA:   0.9 LU  FTPK: -28.8 -28.2 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.79998    TARGET:-23 LUFS    M: -35.7 S: -32.4     I: -32.1 LUFS       LRA:   0.9 LU  FTPK: -33.0 -32.8 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.89998    TARGET:-23 LUFS    M: -35.8 S: -32.5     I: -32.1 LUFS       LRA:   0.9 LU  FTPK: -28.7 -28.9 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 5.99998    TARGET:-23 LUFS    M: -35.8 S: -32.6     I: -32.2 LUFS       LRA:   1.0 LU  FTPK: -28.2 -28.4 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.09998    TARGET:-23 LUFS    M: -36.2 S: -33.1     I: -32.2 LUFS       LRA:   1.1 LU  FTPK: -31.0 -31.4 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.19998    TARGET:-23 LUFS    M: -36.4 S: -33.3     I: -32.3 LUFS       LRA:   1.3 LU  FTPK: -34.0 -34.0 dBFS  TPK: -20.8 -20.7 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.29998    TARGET:-23 LUFS    M: -32.2 S: -33.1     I: -32.3 LUFS       LRA:   1.7 LU  FTPK: -17.2 -17.3 dBFS  TPK: -17.2 -17.3 dBFS
[Parsed_ebur128_0 @ 0x65097e979840] t: 6.39998    TARGET:-23 LUFS    M: -25.5 S: -31.2     I: -32.0 LUFS       LRA:   1.3 LU  FTPK: -17.3 -17.2 dBFS  TPK: -17.2 -17.2 dBFS
